sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image,sl_private,sl_neat_title,sl_linked_postid,sl_pages_url,sl_option_value,sl_lastupdated
,Able Air Conditioing,630 North Tustin Avenue S 540,,Orange,CA,,USA,33.7786029,-117.8358481,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://ableair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://ableair.myhvacshop.com/services/,,2/24/2015 4:33:09
,Abner's A/C and HTG,14163 Oro Grande Street,,Sylmar,CA,,USA,34.312998,-118.441216,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://abners.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://abners.myhvacshop.com/services/,,2/25/2015 4:33:09
,Above All Heating and Air,3561 Oakleaf Drive,,San Jose,CA,,USA,37.354068,-121.79617,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aboveheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aboveheating.myhvacshop.com/services/,,2/26/2015 4:33:09
,"Conquest Air, Inc.",708 North La Reina Street,,Anaheim,CA,,USA,33.840757,-117.979752,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://absolu.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://absolu.myhvacshop.com/services/,,2/27/2015 4:33:09
,Absolute Air Inc.,817 Arnold Drive #8,,Martinez,CA,,USA,37.997399,-122.115277,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://absoluteair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://absoluteair.myhvacshop.com/services/,,2/28/2015 4:33:09
,Academy Air Conditioning,6640 Rubio Ave,,Van Nuys,CA,,USA,34.1916,-118.49485,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://academ.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://academ.myhvacshop.com/services/,,3/1/2015 4:33:09
,AC by Mark,26853 Palacete Dr,,Valencia,CA,,USA,34.4343519,-118.53685,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acbymark.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acbymark.myhvacshop.com/services/,,3/2/2015 4:33:09
,Accurate Air,630 Eubanks Ct. Ste B,,Vacaville,CA,,USA,38.3956114,-121.9618704,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acc.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acc.myhvacshop.com/services/,,3/3/2015 4:33:09
,AC Care Inc,10404 De Soto Ave,,Chatsworth,CA,,USA,34.259212,-118.587922,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accare.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accare.myhvacshop.com/services/,,3/4/2015 4:33:09
,The Air Cond and Htg Co,1328 Blossom Hill Way,,Roseville,CA,,USA,38.7424319,-121.2511908,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accaulfield.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accaulfield.myhvacshop.com/services/,,3/5/2015 4:33:09
,Accel Air,2809 Canyon Falls Drive,,Modesto,CA,,USA,37.615543,-120.941723,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accelair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accelair.myhvacshop.com/services/,,3/6/2015 4:33:09
,Access Air Inc,39360 3rd Street East Ste.103,,Palmdale,CA,,USA,34.597453,-118.125169,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://access.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://access.myhvacshop.com/services/,,3/7/2015 4:33:09
,ACCO Engineered Systems,6265 San Fernando Road,,Glendale,CA,,USA,34.1629905,-118.2935891,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accoen.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accoen.myhvacshop.com/services/,,3/8/2015 4:33:09
,A/C Control Inc,2355 Westwood Blvd #145,,Los Angeles,CA,,USA,34.0412007,-118.4296529,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accon.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accon.myhvacshop.com/services/,,3/9/2015 4:33:09
,A/C Control Inc.,9610 Rudnick Ave,,Chatsworth,CA,,USA,34.244781,-118.612238,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accont.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accont.myhvacshop.com/services/,,3/10/2015 4:33:09
,A.C. Cool,1018 West Collins,,Orange,CA,,USA,33.8023919,-117.8633233,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accool.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accool.myhvacshop.com/services/,,3/11/2015 4:33:09
,Accurate Comfort Sys Inc,2750 South Santa Fe Ave,,San Marcos,CA,,USA,33.1590029,-117.2015673,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accosy.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accosy.myhvacshop.com/services/,,3/12/2015 4:33:09
,Accurate Climate Control,8467 Canoga Ave,,Canoga Park,CA,,USA,34.2240574,-118.5976985,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://accurate.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://accurate.myhvacshop.com/services/,,3/13/2015 4:33:09
,AC Dave Heating and Air,16138 Spunky Canyon Road,,Green Valley,CA,,USA,34.620827,-118.414081,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acdave.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acdave.myhvacshop.com/services/,,3/14/2015 4:33:09
,Ace Air Inc.,137 Heron Way,,Merced,CA,,USA,37.2847852,-120.5214773,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://aceair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://aceair.myhvacshop.com/services/,,3/15/2015 4:33:09
,Ace Heating and A/C&#44; Inc.,1754 Leslie St,,San Mateo,CA,,USA,37.552802,-122.31033,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acehea.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acehea.myhvacshop.com/services/,,3/16/2015 4:33:09
,Air Conditioning Heating and Plumbing Services,2500 East Imperial HWY# 201-374,,Brea,CA,,USA,33.9099518,-117.8652861,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://achp.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://achp.myhvacshop.com/services/,,3/17/2015 4:33:09
,ACMD,17168 Septo St.,,Northridge,CA,,USA,34.250962,-118.507571,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acmd.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acmd.myhvacshop.com/services/,,3/18/2015 4:33:09
,"ACME Environmental, Inc.",12706 Yukon Avenue,,Hawthorne,CA,,USA,33.9172597,-118.3352472,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acme.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acme.myhvacshop.com/services/,,3/19/2015 4:33:09
,AC and Htg Mechanical Mast,9018 Balboa Blvd,,Northridge,CA,,USA,34.2343913,-118.5025291,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acmech.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acmech.myhvacshop.com/services/,,3/20/2015 4:33:09
,A/C and Htg Mechanical Mast,9018 Balboa Blvd. #578,,Northridge,CA,,USA,34.2343913,-118.5025291,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acmech3.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acmech3.myhvacshop.com/services/,,3/21/2015 4:33:09
,AC Norton Heating,21371 Fleet Lane,,Huntington Beach,Ca,,USA,33.652049,-117.965862,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acnorton.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acnorton.myhvacshop.com/services/,,3/22/2015 4:33:09
,A/C Quality Distributors,431 West Amador,,Fresno,CA,,USA,36.7348481,-119.8170317,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",<br>Quality In-home Furnace Tune-up $89<br> [product id=18]<br>,info@thehvac.net,http://acqual.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",1-800-282-4912,,http://myhvacshop.com/wp-content/uploads/2015/01/explorable.png,,,0,http://acqual.myhvacshop.com/services/,,3/23/2015 4:33:09
